title,author,rating,genres,pages,description,main genre 
The Paris Library,Janet Skeslien Charles,4.07,"['Historical', 'Fiction', 'Fiction', 'Historical', 'World', 'War', 'I', 'I', 'Books', 'About', 'Books', 'Audiobook', 'France']",368,"Based on the true World War II story of the heroic librarians at the American Library in Paris, this is an unforgettable story of romance, friendship, family, and the power of literature to bring us together, perfect for fans of The Lilac Girls and The Paris Wife. Paris, 1939: Young and ambitious Odile Souchet has it all: her handsome police officer beau and a dream job at the American Library in Paris. When the Nazis march into Paris, Odile stands to lose everything she holds dear, including her beloved library. Together with her fellow librarians, Odile joins the Resistance with the best weapons she has: books. But when the war finally ends, instead of freedom, Odile tastes the bitter sting of unspeakable betrayal. Montana, 1983: Lily is a lonely teenager looking for adventure in small-town Montana. Her interest is piqued by her solitary, elderly neighbor. As Lily uncovers more about her neighbor’s mysterious past, she finds that they share a love of language, the same longings, and the same intense jealousy, never suspecting that a dark secret from the past connects them. A powerful novel that explores the consequences of our choices and the relationships that make us who we are—family, friends, and favorite authors—The Paris Library shows that extraordinary heroism can sometimes be found in the quietest of places.",historical-fiction
The Dictionary of Lost Words,Pip Williams,4.04,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Books', 'About', 'Books', 'Audiobook', 'Feminism', 'Book', 'Club']",376,"Esme is born into a world of words. Motherless and irrepressibly curious, she spends her childhood in the ""Scriptorium,"" a garden shed in Oxford where her father and a team of dedicated lexicographers are collecting words for the very first Oxford English Dictionary. Young Esme's place is beneath the sorting table, unseen and unheard. One day a slip of paper containing the word ""bondmaid"" flutters to the floor. She rescues the slip, and when she learns that the word means slave-girl, she withholds it from the OED and begins to collect words that show women in a more positive light.As she grows up, Esme realizes that words and meanings relating to women's and common folks' experiences often go unrecorded. And so she begins in earnest to search out words for her own dictionary: The Dictionary of Lost Words. To do so she must leave the sheltered world of the university and venture out to meet the people whose words will fill those pages.Set during the height of the women's suffrage movement with the Great War looming, The Dictionary of Lost Words reveals a lost narrative, hidden between the lines of a history written by men. Based on actual events and combed from author Pip Williams's experience delving into the archives of the Oxford English Dictionary, this highly original novel is a delightful, lyrical, and deeply thought-provoking celebration of words and the power of language to shape the world.",historical-fiction
Hour of the Witch,Chris Bohjalian,3.85,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Witches', 'Thriller', 'Mystery', 'Audiobook']",406,"A young Puritan woman--faithful, resourceful, but afraid of the demons that dog her soul--plots her escape from a violent marriage in this riveting and propulsive historical thriller from the #1 New York Times bestselling author of The Flight Attendant.Boston, 1662. Mary Deerfield is twenty-four years old. Her skin is porcelain, her eyes delft blue, and in England she might have had many suitors. But here in the New World, amid this community of saints, Mary is the second wife of Thomas Deerfield, a man as cruel as he is powerful. When Thomas, prone to drunken rage, drives a three-tined fork into the back of Mary's hand, she resolves that she must divorce him to save her life. But in a world where every neighbor is watching for signs of the devil, a woman like Mary--a woman who harbors secret desires and finds it difficult to tolerate the brazen hypocrisy of so many men in the colony--soon finds herself the object of suspicion and rumor. When tainted objects are discovered buried in Mary's garden, when a boy she has treated with herbs and simples dies, and when their servant girl runs screaming in fright from her home, Mary must fight to not only escape her marriage, but also the gallows. A twisting, tightly plotted thriller from one of our greatest storytellers, Hour of the Witch is a timely and terrifying novel of socially sanctioned brutality and the original American witch hunt.",historical-fiction
The Personal Librarian,Marie Benedict,4.06,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Audiobook', 'Books', 'About', 'Books', 'Adult', 'Book', 'Club']",341,"This is a previously-published edition of ISBN 9780593101537.The remarkable, little-known story of Belle da Costa Greene, J. P. Morgan's personal librarian—who became one of the most powerful women in New York despite the dangerous secret she kept in order to make her dreams come true, from New York Times bestselling author Marie Benedict and acclaimed author Victoria Christopher Murray. In her twenties, Belle da Costa Greene is hired by J. P. Morgan to curate a collection of rare manuscripts, books, and artwork for his newly built Pierpont Morgan Library. Belle becomes a fixture on the New York society scene and one of the most powerful people in the art and book world, known for her impeccable taste and shrewd negotiating for critical works as she helps build a world-class collection.But Belle has a secret, one she must protect at all costs. She was born not Belle da Costa Greene but Belle Marion Greener. She is the daughter of Richard Greener, the first Black graduate of Harvard and a well-known advocate for equality. Belle's complexion isn't dark because of her alleged Portuguese heritage that lets her pass as white—her complexion is dark because she is African American.The Personal Librarian tells the story of an extraordinary woman, famous for her intellect, style, and wit, and shares the lengths to which she must go—for the protection of her family and her legacy—to preserve her carefully crafted white identity in the racist world in which she lives.",historical-fiction
Yellow Wife,Sadeqa Johnson,4.42,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Audiobook', 'Adult', 'Race', 'African', 'American']",278,"In the tradition of Wench and Twelve Years a Slave, this harrowing story follows an enslaved woman forced to barter love and freedom while living in the most infamous slave jail in Virginia.Born on a plantation in Charles City, Virginia, Pheby Brown was promised her freedom on her eighteenth birthday. But when her birthday finally comes around, instead of the idyllic life she was hoping for with her true love, she finds herself thrust into the bowels of slavery at the infamous Devil’s Half-Acre, a jail where slaves are broken, tortured, and sold every day. Forced to become the mistress of the brutal man who owns the jail, Pheby faces the ultimate sacrifice to protect her heart in this powerful, thrilling story of one slave’s fight for freedom.",historical-fiction
The Prophets,Robert Jones Jr.,3.93,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Queer', 'Literary', 'Fiction', 'Romance', 'LGBT']",388,"A singular and stunning debut novel about the forbidden union between two enslaved young men on a Deep South plantation, the refuge they find in each other, and a betrayal that threatens their existence.Isaiah was Samuel’s and Samuel was Isaiah’s. That was the way it was since the beginning, and the way it was to be until the end. In the barn they tended to the animals, but also to each other, transforming the hollowed-out shed into a place of human refuge, a source of intimacy and hope in a world ruled by vicious masters. But when an older man—a fellow slave—seeks to gain favor by preaching the master’s gospel on the plantation, the enslaved begin to turn on their own. Isaiah and Samuel’s love, which was once so simple, is seen as sinful and a clear danger to the plantation’s harmony.With a lyricism reminiscent of Toni Morrison, Robert Jones, Jr. fiercely summons the voices of slaver and the enslaved alike to tell the story of these two men; from Amos the preacher to the calculating slave-master himself to the long line of women that surround them, women who have carried the soul of the plantation on their shoulders. As tensions build and the weight of centuries—of ancestors and future generations to come—culminate in a climactic reckoning, The Prophets masterfully reveals the pain and suffering of inheritance, but is also shot through with hope, beauty, and truth, portraying the enormous, heroic power of love.",historical-fiction
Of Women and Salt,Gabriela  Garcia,3.69,"['Fiction', 'Historical', 'Fiction', 'Audiobook', 'Contemporary', 'Literary', 'Fiction', 'Historical', 'Adult']",207,"In present-day Miami, Jeanette is battling addiction. Daughter of Carmen, a Cuban immigrant, she is determined to learn more about her family history from her reticent mother and makes the snap decision to take in the daughter of a neighbor detained by ICE. Carmen, still wrestling with the trauma of displacement, must process her difficult relationship with her own mother while trying to raise a wayward Jeanette. Steadfast in her quest for understanding, Jeanette travels to Cuba to see her grandmother and reckon with secrets from the past destined to erupt.From 19th-century cigar factories to present-day detention centers, from Cuba to Mexico, Gabriela Garcia's Of Women and Salt is a kaleidoscopic portrait of betrayals—personal and political, self-inflicted and those done by others—that have shaped the lives of these extraordinary women. A haunting meditation on the choices of mothers, the legacy of the memories they carry, and the tenacity of women who choose to tell their stories despite those who wish to silence them, this is more than a diaspora story; it is a story of America’s most tangled, honest, human roots.",historical-fiction
The Final Revival of Opal & Nev,Dawnie Walton,3.85,"['Historical', 'Fiction', 'Fiction', 'Music', 'Audiobook', 'Historical', 'Contemporary', 'Adult']",368,"An electrifying novel about the meteoric rise of an iconic interracial rock duo in the 1970s, their sensational breakup, and the dark secrets unearthed when they try to reunite decades later for one last tour.Opal is a fiercely independent young woman pushing against the grain in her style and attitude, Afro-punk before that term existed. Coming of age in Detroit, she can’t imagine settling for a 9-to-5 job—despite her unusual looks, Opal believes she can be a star. So when the aspiring British singer/songwriter Neville Charles discovers her at a bar’s amateur night, she takes him up on his offer to make rock music together for the fledgling Rivington Records.In early seventies New York City, just as she’s finding her niche as part of a flamboyant and funky creative scene, a rival band signed to her label brandishes a Confederate flag at a promotional concert. Opal’s bold protest and the violence that ensues set off a chain of events that will not only change the lives of those she loves, but also be a deadly reminder that repercussions are always harsher for women, especially black women, who dare to speak their truth.Decades later, as Opal considers a 2016 reunion with Nev, music journalist S. Sunny Shelton seizes the chance to curate an oral history about her idols. Sunny thought she knew most of the stories leading up to the cult duo’s most politicized chapter. But as her interviews dig deeper, a nasty new allegation from an unexpected source threatens to blow up everything.Provocative and chilling, The Final Revival of Opal & Nev features a backup chorus of unforgettable voices, a heroine the likes of which we’ve not seen in storytelling, and a daring structure, and introduces a bold new voice in contemporary fiction.",historical-fiction
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,4.52,"['Fiction', 'Historical', 'Fiction', 'Literary', 'Fiction', 'Race', 'Historical', 'Audiobook', 'African', 'American']",816,"A magisterial epic—an intimate yet sweeping novel with all the luminescence and force of Homegoing; Sing, Unburied, Sing; and The Water Dancer—that chronicles the journey of one American family, from the centuries of the colonial slave trade through the Civil War to our own tumultuous era. The great scholar, W. E. B. Du Bois, once wrote about the Problem of race in America, and what he called “Double Consciousness,” a sensitivity that every African American possesses in order to survive. Since childhood, Ailey Pearl Garfield has understood Du Bois’s words all too well. Bearing the names of two formidable Black Americans—the revered choreographer Alvin Ailey and her great grandmother Pearl, the descendant of enslaved Georgians and tenant farmers—Ailey carries Du Bois’s Problem on her shoulders.Ailey is reared in the north in the City but spends summers in the small Georgia town of Chicasetta, where her mother’s family has lived since their ancestors arrived from Africa in bondage. From an early age, Ailey fights a battle for belonging that’s made all the more difficult by a hovering trauma, as well as the whispers of women—her mother, Belle, her sister, Lydia, and a maternal line reaching back two centuries—that urge Ailey to succeed in their stead.To come to terms with her own identity, Ailey embarks on a journey through her family’s past, uncovering the shocking tales of generations of ancestors—Indigenous, Black, and white—in the deep South. In doing so Ailey must learn to embrace her full heritage, a legacy of oppression and resistance, bondage and independence, cruelty and resilience that is the story—and the song—of America itself.",historical-fiction
Great Circle,Maggie Shipstead,4.11,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Literary', 'Fiction', 'Audiobook', 'Contemporary', 'Adventure']",608,"An alternate cover edition can be found here.Spanning Prohibition-era Montana, the Pacific Northwest, Alaska, New Zealand, wartime London, and modern-day Los Angeles, Great Circle tells the unforgettable story of a daredevil female aviator determined to chart her own course in life, at any cost.After being rescued as infants from a sinking ocean liner in 1914, Marian and Jamie Graves are raised by their dissolute uncle in Missoula, Montana. There--after encountering a pair of barnstorming pilots passing through town in beat-up biplanes--Marian commences her lifelong love affair with flight. At fourteen she drops out of school and finds an unexpected and dangerous patron in a wealthy bootlegger who provides a plane and subsidizes her lessons, an arrangement that will haunt her for the rest of her life, even as it allows her to fulfill her destiny: circumnavigating the globe by flying over the North and South Poles.A century later, Hadley Baxter is cast to play Marian in a film that centers on Marian's disappearance in Antarctica. Vibrant, canny, disgusted with the claustrophobia of Hollywood, Hadley is eager to redefine herself after a romantic film franchise has imprisoned her in the grip of cult celebrity. Her immersion into the character of Marian unfolds, thrillingly, alongside Marian's own story, as the two women's fates--and their hunger for self-determination in vastly different geographies and times--collide. Epic and emotional, meticulously researched and gloriously told, Great Circle is a monumental work of art, and a tremendous leap forward for the prodigiously gifted Maggie Shipstead.",historical-fiction
Eternal,Lisa Scottoline,4.29,"['Historical', 'Fiction', 'Fiction', 'World', 'War', 'I', 'I', 'Historical', 'Italy', 'Romance', 'Audiobook']",480,"What war destroys, only love can heal.Elisabetta, Marco, and Sandro grow up as the best of friends despite their differences. Elisabetta is a feisty beauty who dreams of becoming a novelist; Marco the brash and athletic son in a family of professional cyclists; and Sandro a Jewish mathematics prodigy, kind-hearted and thoughtful, the son of a lawyer and a doctor. Their friendship blossoms to love, with both Sandro and Marco hoping to win Elisabetta's heart. But in the autumn of 1937, all of that begins to change as Mussolini asserts his power, aligning Italy's Fascists with Hitler's Nazis and altering the very laws that govern Rome. In time, everything that the three hold dear--their families, their homes, and their connection to one another--is tested in ways they never could have imagined.As anti-Semitism takes legal root and World War II erupts, the threesome realizes that Mussolini was only the beginning. The Nazis invade Rome, and with their occupation come new atrocities against the city's Jews, culminating in a final, horrific betrayal. Against this backdrop, the intertwined fates of Elisabetta, Marco, Sandro, and their families will be decided, in a heartbreaking story of both the best and the worst that the world has to offer.Unfolding over decades, Eternal is a tale of loyalty and loss, family and food, love and war--all set in one of the world's most beautiful cities at its darkest moment.",historical-fiction
Crossroads,Jonathan Franzen,4.06,"['Fiction', 'Historical', 'Fiction', 'Literary', 'Fiction', 'Contemporary', 'Novels', 'Audiobook', 'Family']",592,"Jonathan Franzen's gift for wedding depth and vividness of character with breadth of social vision has never been more dazzlingly evident than in Crossroads.It's December 23, 1971, and heavy weather is forecast for Chicago. Russ Hildebrandt, the associate pastor of a liberal suburban church, is on the brink of breaking free of a marriage he finds joyless--unless his wife, Marion, who has her own secret life, beats him to it. Their eldest child, Clem, is coming home from college on fire with moral absolutism, having taken an action that will shatter his father. Clem's sister, Becky, long the social queen of her high-school class, has sharply veered into the counterculture, while their brilliant younger brother Perry, who's been selling drugs to seventh graders, has resolved to be a better person. Each of the Hildebrandts seeks a freedom that each of the others threatens to complicate.Jonathan Franzen's novels are celebrated for their unforgettably vivid characters and for their keen-eyed take on contemporary America. Now, in Crossroads, Franzen ventures back into the past and explores the history of two generations. With characteristic humor and complexity, and with even greater warmth, he conjures a world that resonates powerfully with our own.A tour de force of interwoven perspectives and sustained suspense, its action largely unfolding on a single winter day, Crossroads is the story of a Midwestern family at a pivotal moment of moral crisis. Jonathan Franzen's gift for melding the small picture and the big picture has never been more dazzlingly evident.",historical-fiction
Small Pleasures,Clare Chambers,3.79,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Historical', 'Contemporary', 'Literary', 'Fiction', 'Audiobook']",345,"Now available in the US—the dark horse literary novel that has taken Britain by storm! In the best tradition of Tessa Hadley, Kazuo Ishiguro, and Ann Patchett—an astonishing, keenly observed period piece about an ordinary British woman in the 1950s whose dutiful life takes a sudden turn into a pitched battle between propriety and unexpected passion.A BEST BOOK OF 2020 PICK: Daily Telegraph, Sunday Times Ireland, Daily Express



1957: Jean Swinney is a feature writer on a local paper in the southeast suburbs of London. Clever but with limited career opportunities and on the brink of forty, Jean lives a dreary existence that includes caring for her demanding widowed mother, who rarely leaves the house. It’s a small life with little joy and no likelihood of escape.  That all changes when a young woman, Gretchen Tilbury, contacts the paper to claim that her daughter is the result of a virgin birth. Jean seizes onto the bizarre story and sets out to discover whether Gretchen is a miracle or a fraud. But the more Jean investigates, the more her life becomes strangely (and not unpleasantly) intertwined with that of the Tilburys, including Gretchen’s gentle and thoughtful husband Howard, who mostly believes his wife, and their quirky and charming daughter Margaret, who becomes a sort of surrogate child for Jean. Gretchen, too, becomes a much-needed friend in an otherwise empty social life.Jean cannot bring herself to discard what seems like her one chance at happiness, even as the story that she is researching starts to send dark ripples across all their lives…with unimaginable consequences.Both a mystery and a love story, Small Pleasures is a quintessentially British novel in the style of The Remains of the Day, about conflict between personal fulfilment and duty; a novel that celebrates the beauty and potential for joy in all things plain and unfashionable. 








",historical-fiction
West with Giraffes,Lynda Rutledge,4.39,"['Historical', 'Fiction', 'Fiction', 'Animals', 'Historical', 'Adventure', 'Book', 'Club', 'Coming', 'Of', 'Age']",357,"An emotional, rousing novel inspired by the incredible true story of two giraffes who made headlines and won the hearts of Depression-era America.“Few true friends have I known and two were giraffes…”Woodrow Wilson Nickel, age 105, feels his life ebbing away. But when he learns giraffes are going extinct, he finds himself recalling the unforgettable experience he cannot take to his grave.It’s 1938. The Great Depression lingers. Hitler is threatening Europe, and world-weary Americans long for wonder. They find it in two giraffes who miraculously survive a hurricane while crossing the Atlantic. What follows is a twelve-day road trip in a custom truck to become Southern California’s first giraffes. Behind the wheel is the young Dust Bowl rowdy Woodrow. Inspired by true events, the tale weaves real-life figures with fictional ones, including the world’s first female zoo director, a crusty old man with a past, a young female photographer with a secret, and assorted reprobates as spotty as the giraffes.Part adventure, part historical saga, and part coming-of-age love story, West with Giraffes explores what it means to be changed by the grace of animals, the kindness of strangers, the passing of time, and a story told before it’s too late.",historical-fiction
The Sweetness of Water,Nathan  Harris,4.16,"['Historical', 'Fiction', 'Fiction', 'Historical', 'Audiobook', 'Race', 'Literary', 'Fiction', 'LGBT']",368,"In the spirit of The Known World and The Underground Railroad, a profound debut about the unlikely bond between two freedmen who are brothers and the Georgia farmer whose alliance will alter their lives, and his, forever.  In the waning days of the Civil War, brothers Prentiss and Landry—freed by the Emancipation Proclamation—seek refuge on the homestead of George Walker and his wife, Isabelle. The Walkers, wracked by the loss of their only son to the war, hire the brothers to work their farm, hoping through an unexpected friendship to stanch their grief. Prentiss and Landry, meanwhile, plan to save money for the journey north and a chance to reunite with their mother, who was sold away when they were boys. Parallel to their story runs a forbidden romance between two Confederate soldiers. The young men, recently returned from the war to the town of Old Ox, hold their trysts in the woods. But when their secret is discovered, the resulting chaos unleashes convulsive repercussions on the entire community. In the aftermath of so much turmoil, it is Isabelle who emerges as an unlikely leader, proffering a healing vision for the land and for the newly free citizens of Old Ox. With candor and sympathy, debut novelist Nathan Harris creates an unforgettable cast of characters, depicting Georgia in the violent crucible of Reconstruction. Equal parts beauty and terror, as gripping as it is moving, The Sweetness of Water is an epic whose grandeur locates humanity and love amid the most harrowing circumstances.",historical-fiction
A ​Court of Silver Flames,Sarah J. Maas,4.46,"['Fantasy', 'Romance', 'Fiction', 'Fae', 'Fantasy', 'Romance', 'New', 'Adult', 'Adult']",757,"Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",fantasy
Under the Whispering Door,T.J. Klune,4.16,"['Fantasy', 'Fiction', 'Romance', 'Audiobook', 'Queer', 'Adult', 'LGBT']",384,"Welcome to Charon's Crossing.The tea is hot, the scones are fresh, and the dead are just passing through.When a reaper comes to collect Wallace from his own funeral, Wallace begins to suspect he might be dead.And when Hugo, the owner of a peculiar tea shop, promises to help him cross over, Wallace decides he’s definitely dead.But even in death he’s not ready to abandon the life he barely lived, so when Wallace is given one week to cross over, he sets about living a lifetime in seven days.Hilarious, haunting, and kind, Under the Whispering Door is an uplifting story about a life spent at the office and a death spent building a home.",fantasy
The ​Crown of Gilded Bones,Jennifer L. Armentrout,4.2,"['Fantasy', 'Romance', 'Fantasy', 'Romance', 'New', 'Adult', 'Vampires', 'Fiction', 'Paranormal']",645,"She's been the victim and the survivor…Poppy never dreamed she would find the love she’s found with Prince Casteel. She wants to revel in her happiness but first they must free his brother and find hers. It’s a dangerous mission and one with far-reaching consequences neither dreamed of. Because Poppy is the Chosen, the Blessed. The true ruler of Atlantia. She carries the blood of the King of Gods within her. By right the crown and the kingdom are hers.The enemy and the warrior…Poppy has only ever wanted to control her own life, not the lives of others, but now she must choose to either forsake her birthright or seize the gilded crown and become the Queen of Flesh and Fire. But as the kingdoms’ dark sins and blood-drenched secrets finally unravel, a long-forgotten power rises to pose a genuine threat. And they will stop at nothing to ensure that the crown never sits upon Poppy’s head.A lover and heartmate…But the greatest threat to them and to Atlantia is what awaits in the far west, where the Queen of Blood and Ash has her own plans, ones she has waited hundreds of years to carry out. Poppy and Casteel must consider the impossible—travel to the Lands of the Gods and wake the King himself. And as shocking secrets and the harshest betrayals come to light, and enemies emerge to threaten everything Poppy and Casteel have fought for, they will discover just how far they are willing to go for their people—and each other.And now she will become Queen.",fantasy
She Who Became the Sun,Shelley Parker-Chan,3.88,"['Fantasy', 'Historical', 'Fiction', 'Fiction', 'Historical', 'Queer', 'Lesbian', 'LGBT']",414,"In a famine-stricken village on a dusty yellow plain, two children are given two fates. A boy, greatness. A girl, nothingness…In 1345, China lies under harsh Mongol rule. For the starving peasants of the Central Plains, greatness is something found only in stories. When the Zhu family’s eighth-born son, Zhu Chongba, is given a fate of greatness, everyone is mystified as to how it will come to pass. The fate of nothingness received by the family’s clever and capable second daughter, on the other hand, is only as expected.When a bandit attack orphans the two children, though, it is Zhu Chongba who succumbs to despair and dies. Desperate to escape her own fated death, the girl uses her brother's identity to enter a monastery as a young male novice. There, propelled by her burning desire to survive, Zhu learns she is capable of doing whatever it takes, no matter how callous, to stay hidden from her fate.After her sanctuary is destroyed for supporting the rebellion against Mongol rule, Zhu uses the chance to claim another future altogether: her brother's abandoned greatness.Mulan meets The Song of Achilles; an accomplished, poetic debut of war and destiny, sweeping across an epic alternate China.",fantasy
Ariadne,Jennifer Saint,3.81,"['Mythology', 'Fantasy', 'Fiction', 'Greek', 'Mythology', 'Historical', 'Fiction', 'Retellings', 'Historical']",320,"Ariadne, Princess of Crete, grows up greeting the dawn from her beautiful dancing floor and listening to her nursemaid's stories of gods and heroes. But beneath her golden palace echo the ever-present hoofbeats of her brother, the Minotaur, a monster who demands blood sacrifice.When Theseus, the Prince of Athens, arrives to vanquish the beast, Ariadne sees in his green eyes not a threat but an escape. Defying the gods, betraying her family and country, and risking everything for love, Ariadne helps Theseus kill the Minotaur. But will Ariadne's decision ensure her happy ending? And what of Phaedra, the beloved younger sister she leaves behind?Hypnotic, propulsive, and utterly transporting, Jennifer Saint's Ariadne forges a new epic, one that puts the forgotten women of Greek mythology back at the heart of the story, as they strive for a better world.",fantasy
The Last Graduate,Naomi Novik,4.27,"['Fantasy', 'Young', 'Adult', 'Fiction', 'Magic', 'Romance', 'Urban', 'Fantasy', 'Audiobook']",388,"A budding dark sorceress determined not to use her formidable powers uncovers yet more secrets about the workings of her world in the stunning sequel to A Deadly Education, the start of Naomi Novik’s groundbreaking crossover series. At the Scholomance, El, Orion, and the other students are faced with their final year—and the looming specter of graduation, a deadly ritual that leaves few students alive in its wake. El is determined that her chosen group will survive, but it is a prospect that is looking harder by the day as the savagery of the school ramps up. Until El realizes that sometimes winning the game means throwing out all the rules . . .",fantasy
The Book of Magic,Alice Hoffman,4.15,"['Fantasy', 'Fiction', 'Witches', 'Magical', 'Realism', 'Magic', 'Romance', 'Audiobook']",400,"Master storyteller Alice Hoffman brings us the conclusion of the Practical Magic series in a spellbinding and enchanting final Owens novel brimming with lyric beauty and vivid characters.The Owens family has been cursed in matters of love for over three-hundred years but all of that is about to change. The novel begins in a library, the best place for a story to be conjured, when beloved aunt Jet Owens hears the deathwatch beetle and knows she has only seven days to live. Jet is not the only one in danger—the curse is already at work.A frantic attempt to save a young man’s life spurs three generations of the Owens women, and one long-lost brother, to use their unusual gifts to break the curse as they travel from Paris to London to the English countryside where their ancestor Maria Owens first practiced the Unnamed Art. The younger generation discovers secrets that have been hidden from them in matters of both magic and love by Sally, their fiercely protective mother. As Kylie Owens uncovers the truth about who she is and what her own dark powers are, her aunt Franny comes to understand that she is ready to sacrifice everything for her family, and Sally Owens realizes that she is willing to give up everything for love.The Book of Magic is a breathtaking conclusion that celebrates mothers and daughters, sisters and brothers, and anyone who has ever been in love.",fantasy
The Witch's Heart,Genevieve Gornichec,4.06,"['Fantasy', 'Mythology', 'Fiction', 'Retellings', 'Romance', 'Witches', 'Adult']",359,"When a banished witch falls in love with the legendary trickster Loki, she risks the wrath of the gods in this moving, subversive debut novel that reimagines Norse mythology. Angrboda's story begins where most witches' tales end: with a burning. A punishment from Odin for refusing to provide him with knowledge of the future, the fire leaves Angrboda injured and powerless, and she flees into the farthest reaches of a remote forest. There she is found by a man who reveals himself to be Loki, and her initial distrust of him transforms into a deep and abiding love. Their union produces three unusual children, each with a secret destiny, who Angrboda is keen to raise at the edge of the world, safely hidden from Odin's all-seeing eye. But as Angrboda slowly recovers her prophetic powers, she learns that her blissful life—and possibly all of existence—is in danger. With help from the fierce huntress Skadi, with whom she shares a growing bond, Angrboda must choose whether she’ll accept the fate that she's foreseen for her beloved family…or rise to remake their future. From the most ancient of tales this novel forges a story of love, loss, and hope for the modern age.",fantasy
The Inheritance of Orquídea Divina,Zoraida Córdova,3.94,"['Fantasy', 'Magical', 'Realism', 'Fiction', 'Adult', 'Horror', 'Audiobook', 'Paranormal']",336,"The Montoyas are used to a life without explanations. They know better than to ask why the pantry never seems to run low or empty, or why their matriarch won’t ever leave their home in Four Rivers—even for graduations, weddings, or baptisms. But when Orquídea Divina invites them to her funeral and to collect their inheritance, they hope to learn the secrets that she has held onto so tightly their whole lives. Instead, Orquídea is transformed, leaving them with more questions than answers. Seven years later, her gifts have manifested in different ways for Marimar, Rey, and Tatinelly’s daughter, Rhiannon, granting them unexpected blessings. But soon, a hidden figure begins to tear through their family tree, picking them off one by one as it seeks to destroy Orquídea’s line. Determined to save what’s left of their family and uncover the truth behind their inheritance, the four descendants travel to Ecuador—to the place where Orquídea buried her secrets and broken promises and never looked back.",fantasy
The Shadow of the Gods,John Gwynne,4.25,"['Fantasy', 'Fiction', 'High', 'Fantasy', 'Dragons', 'Adult', 'Mythology', 'Epic', 'Fantasy']",480,"Set in a brand-new, Norse-inspired world, and packed with myth, magic and bloody vengeance, The Shadow of the Gods begins an epic new fantasy saga from bestselling author John Gwynne.After the gods warred and drove themselves to extinction, the cataclysm of their fall shattered the land of Vigrið.Now a new world is rising, where power-hungry jarls feud and monsters stalk the woods and mountains. A world where the bones of the dead gods still hold great power for those brave - or desperate - enough to seek them out.Now, as whispers of war echo across the mountains and fjords, fate follows in the footsteps of three people: a huntress on a dangerous quest, a noblewoman who has rejected privilege in pursuit of battle fame, and a thrall who seeks vengeance among the famed mercenaries known as the Bloodsworn.All three will shape the fate of the world as it once more falls under the shadow of the gods . . .",fantasy
For the Wolf,Hannah F. Whitten,3.63,"['Fantasy', 'Romance', 'Retellings', 'Young', 'Adult', 'Fiction', 'Magic', 'Adult']",437,"The first daughter is for the Throne. The second daughter is for the Wolf. As the only Second Daughter born in centuries, Red has one purpose—to be sacrificed to the Wolf in the Wood in the hope he'll return the world's captured gods. Red is almost relieved to go. Plagued by a dangerous power she can't control, at least she knows that in the Wilderwood, she can't hurt those she loves. Again. But the legends lie. The Wolf is a man, not a monster. Her magic is a calling, not a curse. And if she doesn't learn how to use it, the monsters the gods have become will swallow the Wilderwood—and her world—whole. The author has provided a list of content warnings here.",fantasy
The Jasmine Throne,Tasha Suri,4.15,"['Fantasy', 'Lesbian', 'Queer', 'Romance', 'Fiction', 'Adult', 'LGBT']",533,"Author of Empire of Sand and Realm of Ash Tasha Suri's The Jasmine Throne, beginning a new trilogy set in a world inspired by the history and epics of India, in which a captive princess and a maidservant in possession of forbidden magic become unlikely allies on a dark journey to save their empire from the princess's traitor brother.Imprisoned by her dictator brother, Malini spends her days in isolation in the Hirana: an ancient temple that was once the source of the powerful, magical deathless waters — but is now little more than a decaying ruin.Priya is a maidservant, one among several who make the treacherous journey to the top of the Hirana every night to clean Malini’s chambers. She is happy to be an anonymous drudge, so long as it keeps anyone from guessing the dangerous secret she hides.But when Malini accidentally bears witness to Priya’s true nature, their destinies become irrevocably tangled. One is a vengeful princess seeking to depose her brother from his throne. The other is a priestess seeking to find her family. Together, they will change the fate of an empire.",fantasy
